student_id,logins_per_week,videos_watched,time_spent_on_platform,avg_quiz_score
338,9,20,4,95
339,10,20,18,60
340,3,29,12,87
341,5,3,12,72
342,6,1,13,79
343,6,18,11,81
344,5,21,9,57
345,10,3,1,96
346,7,9,2,57
347,5,2,8,90
348,4,8,16,67
349,8,11,19,72
350,10,7,12,85
351,8,23,7,84
352,3,25,7,69
353,9,1,14,66
354,4,28,5,73
355,10,2,10,52
356,3,6,20,79
357,6,19,16,65
358,4,16,9,60
359,10,20,17,81
360,9,14,9,63
361,3,4,11,56
362,2,10,11,100
363,8,15,6,61
364,9,13,11,72
365,8,26,10,65
366,7,4,15,68
367,9,5,13,100
368,7,13,11,74
369,9,10,11,66
370,7,4,15,86
371,5,14,7,83
372,5,18,1,51
373,2,5,16,91
374,5,1,18,73
375,2,11,4,53
376,10,21,12,92
377,3,23,19,78
378,5,9,10,93
379,5,0,18,60
380,6,30,12,60
381,7,8,17,82
382,5,13,17,87
383,2,5,20,91
384,5,13,1,70
385,4,21,4,78
386,4,12,3,73
387,2,25,19,64
388,6,25,8,71
389,7,0,17,53
390,4,15,1,51
391,3,20,11,93
392,2,6,4,53
393,3,20,20,90
394,5,4,16,68
395,7,23,6,88
396,1,11,18,89
397,5,1,19,77
398,7,29,14,68
399,4,22,8,51
400,1,27,5,97
401,8,25,17,73
402,1,25,13,68
403,6,21,12,71
404,3,0,17,56
405,5,12,10,50
406,1,13,17,98
407,4,24,5,55
408,6,10,3,89
409,2,11,20,70
410,1,12,18,64
411,7,30,2,85
412,9,14,7,84
413,2,20,19,76
414,7,26,4,55
415,2,4,5,76
416,2,16,15,96
417,7,10,17,76
418,6,23,4,88
419,6,7,7,70
420,7,8,13,55
421,7,23,2,81
422,9,8,11,82
423,6,20,13,58
424,9,2,11,83
425,3,29,6,51
426,5,0,17,60
427,7,20,6,57
428,4,12,20,80
429,8,20,15,83
430,5,12,17,70
431,5,21,7,80
432,7,15,13,62
433,1,22,18,68
434,3,9,12,76
435,5,13,15,58
436,6,12,8,83
437,1,1,10,56
438,4,0,10,76
439,1,16,5,69
440,7,1,7,83
441,6,29,7,84
442,4,15,16,95
443,8,23,18,95
444,6,16,5,97
445,9,11,2,82
446,6,2,12,75
447,9,24,13,55
448,10,13,2,53
449,8,11,11,93
450,6,28,12,58
451,2,6,6,96
452,1,30,17,97
453,8,23,11,83
454,5,20,7,82
455,2,14,11,60
456,9,16,15,57
457,8,11,19,78
458,5,15,11,91
459,5,6,1,90
460,5,19,14,95
461,4,12,15,75
462,8,9,19,51
463,2,18,4,80
464,1,14,17,52
465,8,9,16,81
466,4,6,8,64
467,9,28,11,71
468,10,1,5,91
469,5,26,19,77
470,9,12,20,71
471,10,8,14,70
472,6,0,13,92
473,7,15,19,58
474,7,18,11,94
475,7,7,7,69
476,2,11,5,78
477,1,20,5,84
478,7,8,5,60
479,2,17,5,98
480,1,16,18,83
481,8,11,20,54
482,2,18,11,92
483,8,6,17,88
484,7,30,12,78
485,10,24,18,64
486,7,19,1,50
487,1,3,3,97
488,3,13,9,74
489,1,2,6,55
490,9,11,1,69
491,9,19,9,79
492,7,0,18,81
493,3,5,19,82
494,7,20,10,59
495,1,15,8,73
496,10,13,3,71
497,1,2,11,72
498,3,10,17,87
499,2,27,10,81
500,6,8,8,72
501,3,25,17,64
502,8,19,2,56
503,10,1,1,73
504,1,28,20,56
505,5,0,9,85
506,2,12,6,56
507,10,8,19,89
508,6,8,14,94
509,10,10,11,79
510,6,3,19,55
511,5,2,19,85
512,1,29,19,91
513,3,5,3,65
514,9,7,8,73
515,4,16,10,86
516,3,8,8,57
517,9,8,15,54
518,9,0,10,64
519,5,10,19,72
520,1,14,10,99
521,10,25,12,79
522,10,17,5,63
523,1,29,3,50
524,8,4,13,57
525,3,25,16,87
526,6,28,20,92
527,7,18,2,74
528,1,2,7,87
529,1,10,5,96
530,9,22,13,91
531,10,4,17,55
532,1,24,14,59
533,6,30,20,54
534,2,30,6,88
535,8,7,16,87
536,10,25,13,84
537,6,9,11,53
538,3,26,2,96
539,9,1,7,90
540,6,4,3,55
541,4,7,10,80
542,3,19,1,93
543,6,12,5,97
544,5,10,18,66
545,4,1,7,73
546,7,2,12,66
547,1,18,18,82
548,7,29,15,81
549,8,10,1,90
550,9,0,5,97
551,10,0,5,77
552,8,18,17,96
553,4,22,5,53
554,2,9,13,54
555,7,11,17,89
556,6,19,5,65
557,1,2,17,66
558,4,4,9,96
559,4,16,10,95
560,1,16,11,80
561,8,1,8,79
562,8,7,18,93
563,4,2,7,58
564,7,20,19,60
565,3,15,5,84
566,7,9,5,53
567,7,22,13,73
568,5,5,1,78
569,6,11,14,93
570,10,25,15,86
571,9,27,15,79
572,2,16,18,65
573,7,0,4,64
574,2,30,3,84
575,6,28,7,94
576,8,5,6,79
577,1,29,11,56
578,7,30,10,83
579,1,1,8,61
580,7,4,12,54
581,1,18,3,66
582,8,13,6,77
583,3,1,2,89
584,1,8,9,68
585,2,16,18,88
586,4,19,6,50
587,1,26,14,52
588,2,27,9,79
589,8,10,9,50
590,6,6,10,80
591,6,12,12,84
592,4,30,11,69
593,1,12,2,50
594,3,21,20,74
595,6,15,13,69
596,5,30,8,94
597,2,30,9,83
598,2,6,3,97
599,3,6,13,79
600,5,24,13,62
601,9,12,18,64
602,2,1,16,62
603,1,9,1,63
604,9,26,18,57
605,4,15,3,71
606,1,13,6,77
607,4,15,14,82
608,1,19,9,78
609,8,10,17,58
610,1,4,2,50
611,6,16,3,87
612,7,0,2,77
613,7,21,19,78
614,7,11,1,67
615,2,25,15,54
616,8,8,2,76
617,7,21,1,68
618,6,23,6,60
619,6,9,12,61
620,6,5,16,70
621,8,16,18,89
622,1,20,15,73
623,2,7,13,100
624,4,4,3,54
625,8,0,6,54
626,9,26,9,61
627,6,19,16,84
628,10,27,16,91
629,4,20,13,78
630,3,17,19,75
631,7,17,12,98
632,9,11,2,93
633,1,23,5,78
634,5,27,20,94
635,5,18,18,74
636,4,8,7,67
637,4,4,18,62
638,8,4,19,74
639,2,0,14,58
640,7,24,12,100
641,6,1,10,91
642,4,13,6,75
643,3,24,14,81
644,2,14,13,66
645,8,11,13,86
646,7,6,11,92
647,3,10,6,84
648,4,28,10,94
649,9,27,20,77
650,5,28,12,71
651,10,2,16,70
652,5,25,1,74
653,4,3,17,77
654,4,28,13,56
655,9,0,10,80
656,5,28,3,86
657,10,27,20,53
658,4,12,14,61
659,7,25,15,94
660,9,16,10,70
661,2,26,6,54
662,6,18,7,77
663,2,22,16,63
664,5,16,9,94
665,3,23,5,72
666,1,18,10,94
667,1,24,7,91
668,6,14,5,55
669,7,27,20,77
670,2,11,3,90
671,2,6,16,71
672,1,23,8,56
673,1,30,15,99
674,8,23,1,58
675,6,14,10,100
676,1,7,3,74
677,1,8,8,53
678,1,22,2,77
679,7,23,2,55
680,10,26,14,92
681,4,9,11,96
682,8,11,18,76
683,10,16,3,97
684,2,24,10,95
685,5,19,13,81
686,9,4,6,54
687,9,24,12,92
688,2,28,3,88
689,8,13,18,99
690,1,24,11,98
691,7,11,5,89
692,4,3,14,72
693,1,7,7,91
694,6,21,20,88
695,4,7,1,68
696,7,28,19,85
697,5,25,13,98
698,8,25,7,75
699,8,2,20,86
700,6,29,8,74
701,9,2,17,72
702,5,26,5,72
703,6,1,11,90
704,5,16,10,62
705,2,15,10,98
706,4,15,5,97
707,5,27,16,58
708,4,25,9,64
709,2,22,2,93
710,2,17,17,97
711,5,12,18,63
712,7,18,4,72
713,6,19,4,70
714,3,10,11,99
715,6,24,2,100
716,6,26,10,63
717,4,16,18,80
718,6,13,3,97
719,8,8,15,63
720,10,1,11,95
721,8,4,15,53
722,3,4,6,90
723,5,23,13,58
724,9,23,13,96
725,6,30,2,70
726,5,14,7,50
727,8,28,2,55
728,2,9,19,100
729,7,4,17,88
730,7,8,4,66
731,9,6,18,76
732,1,27,11,75
733,4,6,15,53
734,6,29,16,68
735,7,28,5,89
736,4,28,17,62
737,10,7,9,86
738,2,17,15,77
739,4,5,1,57
740,9,30,18,90
741,9,18,8,89
742,2,6,3,69
743,4,23,13,94
744,8,26,10,57
745,2,16,13,86
746,7,19,13,58
747,4,28,20,54
748,4,17,2,85
749,5,10,19,81
750,1,25,7,57
751,1,10,15,73
752,10,19,16,73
753,7,8,11,59
754,2,10,9,57
755,9,25,3,68
756,2,23,8,72
757,9,10,11,90
758,6,17,18,71
759,4,16,8,61
760,7,21,15,57
761,4,26,1,88
762,1,22,20,52
763,3,29,6,62
764,6,6,2,88
765,3,16,15,72
766,3,7,16,52
767,5,19,1,73
768,5,20,10,79
769,8,20,11,70
770,6,20,2,53
771,3,3,17,53
772,3,24,3,96
773,1,23,10,58
774,8,13,3,92
775,9,28,3,79
776,2,29,16,66
777,8,2,3,87
778,10,20,9,63
779,3,28,19,57
780,8,17,16,65
781,5,11,13,87
782,1,9,14,92
783,4,3,16,74
784,10,22,19,100
785,9,17,8,98
786,4,15,7,96
787,7,14,12,85
788,9,20,1,79
789,3,28,1,51
790,8,7,10,79
791,6,14,3,67
792,1,26,8,69
793,9,11,9,85
794,10,27,5,67
795,3,2,16,91
796,4,3,7,71
797,4,14,9,89
798,10,17,14,68
799,3,15,10,60
800,9,6,17,73
801,9,20,2,75
802,7,10,4,73
803,1,15,17,96
804,6,8,17,57
805,5,21,17,69
806,10,10,5,86
807,1,10,8,65
808,1,9,18,94
809,7,14,11,91
810,5,9,16,63
811,7,16,3,98
812,10,27,10,76
813,2,6,13,82
814,3,24,13,79
815,8,6,7,60
816,1,6,16,67
817,6,19,8,97
818,9,22,5,94
819,3,10,9,98
820,9,23,9,60
821,2,1,1,50
822,10,9,20,51
823,2,18,1,98
824,9,19,14,78
825,6,3,5,67
826,3,18,11,98
827,9,2,9,84
828,1,18,18,50
829,4,29,17,91
830,1,21,2,59
831,3,16,15,76
832,5,20,7,96
833,2,4,19,75
834,2,20,12,54
835,2,18,6,52
836,2,21,13,54
837,5,23,11,67
838,1,6,5,87
839,5,26,9,80
840,6,9,9,83
841,7,23,9,77
842,2,0,4,61
843,1,16,12,69
844,3,10,19,55
845,10,12,3,74
846,9,0,2,72
847,5,9,9,50
848,8,20,16,94
849,5,8,5,64
850,9,30,19,55
851,1,17,6,57
852,3,9,17,92
853,9,10,3,73
854,2,5,9,99
855,2,7,13,86
856,3,18,16,67
857,9,8,1,87
858,6,29,6,76
859,2,1,3,67
860,9,2,16,62
861,5,27,15,67
862,2,12,11,90
863,9,24,5,98
864,6,19,8,75
865,2,28,13,90
866,2,3,5,58
867,1,21,5,75
868,3,12,7,75
869,2,8,4,54
870,9,12,17,71
871,5,30,16,95
872,5,11,15,64
873,3,17,12,83
874,8,24,9,69
875,2,7,14,90
876,7,14,3,66
877,10,6,19,63
878,4,16,19,72
879,5,27,11,87
880,3,23,17,79
881,8,10,10,89
882,2,17,2,97
883,10,25,4,78
884,3,7,15,82
885,8,28,16,68
886,3,10,14,66
887,9,5,18,67
888,4,5,7,71
889,10,10,12,88
890,2,20,12,87
891,9,18,16,68
892,2,26,14,58
893,4,7,13,61
894,3,23,18,100
895,6,2,16,76
896,10,26,8,70
897,9,20,18,91
898,9,27,14,87
899,10,9,16,67
900,4,24,12,91
901,10,17,20,60
902,8,0,5,81
903,5,15,14,67
904,4,16,12,69
905,10,2,6,66
906,10,5,1,72
907,1,20,12,52
908,7,22,8,54
909,2,9,2,60
910,8,12,5,75
911,10,11,5,64
912,10,22,19,80
913,9,6,12,52
914,4,29,6,95
915,9,28,5,85
916,10,0,3,61
917,4,1,2,90
918,9,23,20,65
919,10,17,16,67
920,9,16,3,71
921,1,27,9,92
922,4,8,11,86
923,3,3,6,68
924,2,22,5,99
925,7,10,10,80
926,8,19,11,74
927,9,24,14,80
928,2,26,4,74
929,5,5,14,77
930,1,9,17,87
931,8,9,7,76
932,3,26,16,59
933,7,23,17,89
934,9,4,3,59
935,4,10,8,54
936,2,25,3,55
937,2,16,13,98
938,5,28,18,78
939,7,1,19,61
940,3,23,7,95
941,10,8,1,89
942,7,30,20,89
943,7,25,4,70
944,2,28,6,82
945,10,20,19,100
946,6,20,4,64
947,2,11,5,78
948,9,8,17,60
949,5,3,2,71
950,10,4,19,73
951,6,7,5,79
952,5,19,7,58
953,3,16,2,70
954,10,9,16,84
955,1,5,6,55
956,1,11,18,60
957,10,19,4,60
958,9,3,6,79
959,6,14,3,53
960,9,20,2,69
961,3,28,5,53
962,3,22,13,90
963,7,14,9,66
964,9,23,20,72
965,2,22,1,92
966,3,24,1,50
967,5,14,19,62
968,8,11,17,79
969,10,26,13,79
970,6,6,18,62
971,9,17,13,96
972,9,23,6,55
973,3,6,16,91
974,9,10,8,88
975,1,22,5,70
976,7,14,2,58
977,8,2,19,67
978,10,16,8,50
979,1,2,9,79
980,1,7,9,78
981,4,24,15,62
982,1,7,15,88
983,5,5,2,87
984,3,4,1,82
985,7,15,4,76
986,7,5,14,84
987,9,12,5,69
988,6,29,14,91
989,3,5,4,92
990,9,6,18,82
991,10,11,6,51
992,5,22,14,88
993,4,3,3,56
994,2,21,7,66
995,2,21,3,88
996,6,7,3,99
997,1,8,2,93
998,4,19,7,76
999,3,6,2,67
1000,7,13,10,89
